"PIN","sex","age","dq_ethnicity_1","dq_ethnicity_2","dq_ethnicity_3","dq_ethnicity_4","dq_ethnicity_5","dq_ethnicity_6","dq_religion1","dq_religion2","dq_religion3","dq_religion4","dq_religion5","dq_religion6","dq_religion7","dq_religion8","dq_religion9","dq_religion10","dq_religion11","dq_religion12","dq_politics1","dq_politics2","dq_politics3","dq_politics4","dq_politics5","dq_politics6","dq_politics7","dq_age18","dq_age19","dq_age20","dq_age21","dq_age22","dq_age23_25","dq_age26","self_race1","self_race2","self_race3","self_race4","self_race5","self_race6","self_race7","self_religion","self_politics","ideal_affectionate","ideal_ambition","ideal_artistic","ideal_disposition","ideal_family","ideal_health","ideal_humor","ideal_intelligent","ideal_kind","ideal_parenting","ideal_physatt","ideal_religious","ideal_resources","ideal_sexy","ideal_status","self_affectionate_comp","self_ambition_comp","self_artistic_comp","self_disposition_comp","self_family_comp","self_health_comp","self_humor_comp","self_intelligent_comp","self_kind_comp","self_parenting_comp","self_physatt_comp","self_religious_comp","self_resources_comp","self_sexy_comp","self_status_comp"
272,0,25,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,13,4,9,9,6,9,7,7,10,9,8,10,6,8,8,10,8,10,7,8,10,8,7,10,9,9,10,10,7,8,10,7
462,0,22,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,3,6,8,8,8,7,10,6,7,9,5,9,6,8,4,9,8,9,5,5,8,9,4,6,6,6,7,6,6,5,8,7
395,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,5,6,5,6,6,5,7,7,6,6,7,7,4,6,7,6,8,6,3,7,5,8,6,7,5,7,6,5,5,7,7
440,0,18,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,8,10,6,10,7,8,9,7,8,7,9,8,7,6,7,8,9,9,8,8,7,7,8,7,8,6,10,8,5,8
362,0,18,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,7,7,9,9,8,10,10,8,10,10,10,10,10,10,8,10,7,10,9,8,10,9,9,10,8,10,9,10,8,9,10
366,0,18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,3,7,8,8,8,7,6,8,10,8,5,7,4,8,10,8,10,7,8,8,8,8,7,7,7,4,7,1,5,9,6
266,0,18,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,6,6,7,5,8,5,5,5,5,5,6,4,7,7,5,5,6,7,7,8,5,6,5,6,5,7,5,6,8,5
406,0,22,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,4,9,8,4,10,6,8,9,8,9,7,9,5,10,10,8,9,9,6,8,9,9,10,9,9,8,8,3,7,7,8
342,0,21,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,6,6,6,8,5,6,5,5,7,7,5,4,3,6,5,6,7,8,7,8,7,5,7,8,7,5,6,6,6,7,8
321,0,18,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,5,5,9,8,5,9,9,7,7,9,8,7,7,5,9,8,8,9,8,7,7,9,6,5,6,9,7,8,4,6,6,6
